id,name,host_id,host_name,neighbourhood,lattitude,lognitute,neighbourhood_group,room_type,price,weekly_price,monthly_price,minimum_nights,amenities,country,state,review_rating_percentage,review_score_cleaniness,review_score_location
1003530,New York City - Upper West Side Apt,454250,Greta,,-73.96523,40.79962,Manhattan,Private room,135,1347,5390,12,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",United States,New York,94,9,10
10133554,Double and triple rooms Blue mosque,52004703,Mehmet Emin,,28.98009,41.0062,Fatih,Private room,121,1347,5390,1,"['Internet', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",Turkey,Istanbul,92,9,10
10059872,"Soho Cozy, Spacious and Convenient",51624384,Giovanni,Soho,114.15027,22.28158,Central & Western District,Entire home/apt,699,5000,5390,4,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",Hong Kong,Hong Kong,100,10,10
10084023,City center private room with bed,51744313,Yi,Shek Kip Mei,114.1669,22.3314,Sham Shui Po District,Private room,181,1350,5000,1,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",Hong Kong,Hong Kong,92,8,10
10091713,Surry Hills Studio - Your Perfect Base in Sydney,13764143,Ben,Surry Hills,151.21554,-33.88029,Darlinghurst,Entire home/apt,181,1347,5390,10,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",Australia,Sydney,95,9,10
10112159,Downtown Oporto Inn (room cleaning),2649859,Elisabete,,-8.60867,41.1543,,Private room,40,230,600,1,"['TV', 'Cable TV', 'Wifi', 'Family/kid friendly', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Hot water', 'Long term stays allowed', 'Other']",Portugal,Porto,93,9,9
10096773,Easy 1 Bedroom in Chelsea,34607505,Scott,Chelsea,-74.00074,40.74577,Manhattan,Entire home/apt,145,1000,5390,2,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",United States,New York,100,10,10
10140368,A bedroom far away from home,1017772,Lane,Jamaica,-73.82257,40.71485,Queens,Private room,45,1347,5390,1,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",United States,New York,95,10,9
10021707,Private Room in Bushwick,11275734,Josh,Bushwick,-73.93615,40.69791,Brooklyn,Private room,40,1347,5390,14,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",United States,New York,100,10,8
10038496,Copacabana Apartment Posto 6,51530266,Ana Valéria,Copacabana,-43.19084919,-22.98433936,Copacabana,Entire home/apt,119,1347,5390,3,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",Brazil,Rio De Janeiro,98,10,10
10059244,Ligne verte - à 15 min de métro du centre ville.,7140229,Caro,,-73.54949,45.54548,Hochelaga-Maisonneuve,Entire home/apt,43,1347,5390,2,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Washer', 'Smoke detector', 'Essentials', 'Shampoo', 'Laptop friendly workspace', 'Hot water', 'Bed linens']",Canada,Montreal,93,9,9
10116578,Apartamento zona sul do RJ,51915770,Luiz Rodrigo,,-43.18259548,-22.93054146,Laranjeiras,Entire home/apt,933,1347,5390,1,"['Cable TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', '24-hour check-in', 'Iron']",Brazil,Rio De Janeiro,93,9,9
10009999,Horto flat with small garden,1282196,Ynaie,Jardim Botânico,-43.23074991,-22.96625355,Jardim Botânico,Entire home/apt,317,1492,4849,2,"['Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",Brazil,Rio De Janeiro,93,9,9
10066928,3 chambres au coeur du Plateau,9036477,Margaux,Le Plateau,-73.57383,45.52233,Le Plateau-Mont-Royal,Entire home/apt,140,1347,5390,1,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",Canada,Montreal,93,9,9
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,51471538,Ahmet,Şişli,28.98713,41.04841,Şişli,Entire home/apt,838,1347,5390,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",Turkey,Istanbul,67,7,10
